uniprot	pca0	pca1	pca2	pca3	pca4	pca5
PANX1	0.5163899250949802	2.5074936939609174	2.642327572327254	1.6860046197741503	2.099213708600195	2.246567151718297
PCDB8	0.3804458359296856	3.070601410377943	1.5922885538895644	2.630937224885465	2.62319864260156	1.8391966580183312
PCDB2	0.6122860512573534	2.662352649783582	2.1343489313711097	2.363489072395113	2.1016219200875055	1.793427254942252
PAL4C	2.476652583655957	1.322162696425945	2.0331852671610484	1.8803617019193746	2.305697740011081	1.6794701906635705
PCDB4	0.49490434801969796	2.6726068655832744	1.9043723063019316	2.236195692010819	2.210970123589167	1.5624963296094527
OZF	3.3653135513436405	3.4737875616402722	1.40245708373967	1.9517897647059599	2.633263150393655	2.215442321571314
P4HA2	1.8874378435337098	1.963021683155083	1.3205645570862643	2.4631430887799324	2.481739596982438	2.829064050902871
PDZD2	2.8725863913449454	1.9479937500746494	2.2245608435634217	2.7760219398874435	2.0671599081991405	1.458960089767222
P2RX6	0.5840114794135631	2.5684031734222317	2.6307218562511676	2.2246194105882555	1.7122432038547741	2.304145857719894
PI15	1.749935727061514	1.4933140048055775	0.9847578159455992	2.563735387602614	1.867683394652611	2.354056203209939
POC1A	2.6216829355802127	1.5011984987432427	2.2868290028594673	2.5102122381220933	2.7706289770074393	1.0395106772593483
PLK4	3.2771558500277838	1.8219231822566255	3.3567165032938155	2.841713069993093	1.9629099320762913	2.534133677974865
OVCH1	1.702668037272123	2.132114874619429	0.523790917386235	3.276759723654094	2.6173842035232835	2.3275503216782334
POC1B	2.78075815600351	1.610940080031583	2.778792115704262	2.9273376030401264	2.6090580851983605	1.207136777161347
PK3CD	2.7186447026472513	1.433885924616991	2.989522333389096	2.678641478924387	2.5212902694752577	2.7089097551551955
PIGO	0.8361047472490741	2.3478665406778862	2.471323836271899	1.6076723014771872	2.2303924891174405	2.711784716515799
PLAC8	2.309590612196165	1.4231416923718885	1.706012084792122	1.598772504203433	2.1003673358037216	2.1340350094640925
POP1	2.759808063067081	1.87362301425394	2.314461695532323	2.2535752733488943	1.7264810379796582	2.5620091468808477
PLET1	1.183104931354951	1.9389044387921635	1.659120074992181	2.3647337288456125	1.9954689660231941	1.934582229463816
STAT4	3.3818173489394994	2.6076262964048107	2.2640781991397367	2.020243137266181	1.2209580116923195	1.5333989222511892
SURF2	2.468665832619463	1.5328832736602287	2.1979751976369166	2.015897869121466	1.938796443994643	2.3016611093660915
RS6	2.8087325129389416	1.8589915784346562	2.5919665015629043	2.343445477196518	1.4550019473546907	2.7782994107106758
